Scenario_1,Scenario_2,Scenario_3,Scenario_4,Scenario_5,Scenario_6,Scenario_7,Scenario_8,Scenario_9,Scenario_10,Scenario_11,Scenario_12,Scenario_13,Scenario_14,Scenario_15,Scenario_16,Scenario_17,Scenario_18,Scenario_19,Scenario_20,Scenario_21,Scenario_22,Scenario_23,Scenario_24,Scenario_25,Scenario_26,Scenario_27,Scenario_28,Scenario_29,Scenario_30,Scenario_31,Scenario_32,Scenario_33,Scenario_34,Scenario_35,Scenario_36,Scenario_37,Scenario_38,Scenario_39,Scenario_40,Scenario_41,Scenario_42,Scenario_43,Scenario_44,Scenario_45,Scenario_46,Scenario_47,Scenario_48,Scenario_49,Scenario_50,Scenario_51,Scenario_52,Scenario_53,Scenario_54,Scenario_55,Scenario_56,Scenario_57,Scenario_58,Scenario_59,Scenario_60,Scenario_61,Scenario_62,Scenario_63,Scenario_64,Scenario_65,Scenario_66,Scenario_67,Scenario_68,Scenario_69,Scenario_70,Scenario_71,Scenario_72,Scenario_73,Scenario_74,Scenario_75,Scenario_76,Scenario_77,Scenario_78,Scenario_79,Scenario_80,Scenario_81,Scenario_82,Scenario_83,Scenario_84,Scenario_85,Scenario_86,Scenario_87,Scenario_88,Scenario_89,Scenario_90,Scenario_91,Scenario_92,Scenario_93,Scenario_94,Scenario_95,Scenario_96,Scenario_97,Scenario_98,Scenario_99,Scenario_100
-0.28450057,-0.1530252,-0.31787792,-0.13866973,-0.2437147,-0.29995593,0.05781503,-0.00057408423,-0.2534005,-0.4114955,-0.4089307,-0.014658459,-0.20628639,-0.28256652,-0.09952251,0.40194255,-0.14894086,-0.067279644,0.015455419,0.21437374,0.28242555,-0.09446917,0.1361417,-0.520135,0.11009068,-0.32370293,-0.1773703,0.116139345,0.15609261,-0.3262086,0.10140506,-0.39420658,-0.09686261,0.1401483,-0.3778784,-0.23830572,0.29540798,0.017865967,-0.10149172,-0.42648828,0.08870063,0.04328556,0.4325942,0.318248,0.04172249,0.005983033,-0.3159647,0.09081006,-0.3704723,0.30795202,0.17356049,0.03277183,-0.09399068,-0.009763937,-0.16967116,-0.47188652,0.48491234,-0.44672114,0.5120811,-0.7766357,-0.098961435,-0.20822285,-0.42993122,0.16515617,0.041005857,-0.15650731,0.079973385,0.24342413,0.5104518,0.49604896,-0.66651195,-0.2227369,0.33736444,-0.016481731,-0.10868533,0.068549305,0.18623848,-0.13871479,0.20715123,-0.7376134,-0.20909469,0.15399055,0.100295626,-0.36868322,0.33009508,0.42651525,0.062421903,-0.112726904,0.4859662,0.25869417,0.03493739,-0.2474729,0.016140535,-0.6143005,-0.1411894,0.5658966,-0.17934941,-0.033034887,0.44526815,-0.5008237
-0.27207297,-0.07819709,-0.079248406,0.049014743,0.3013027,0.35682926,-0.35415065,0.110621385,0.21967581,-0.20932434,0.19753721,0.17461509,0.28718796,-0.18119088,-0.44074595,0.0145111885,-0.7987771,0.14962022,0.2583625,-0.47729996,0.13361168,0.03107548,0.45592743,0.1948888,0.42672706,-0.008317675,0.014831094,1.0046804,-0.25292465,-0.23791593,0.20623097,-0.45494688,0.052848008,-0.15072729,0.4827581,0.13737538,0.16389166,-0.0839998,-0.44288015,-0.19493683,-0.29685688,-0.40663362,0.43180883,0.8041075,0.22211811,-0.11582079,0.37377605,-0.14542924,0.04667551,0.5960719,0.16357559,-0.048310857,0.078287594,0.18887536,-0.16964737,-0.007114948,-0.36432922,0.07691474,-0.19746004,-0.31223577,-0.040306136,0.40700206,-0.3690161,-0.2014664,0.25817344,-0.014190401,0.043154117,-0.08797784,0.095836386,0.57594895,0.012891118,-0.1757179,-0.128913,-0.44717577,-0.27255854,0.015056423,-0.30662975,-0.689859,-0.26040632,-0.387554,-0.34763795,0.16168536,0.047228176,-0.161405,0.60080105,0.028947905,0.4066151,-0.14357387,-0.600133,0.27116546,0.051100433,0.20266065,0.20530826,0.3671206,-0.029569736,0.42199323,-0.37659428,-0.08646045,-0.5306373,0.3562534
-0.42665032,-0.13423274,0.12060998,0.09687998,-0.57410485,-0.1338085,0.46699116,0.17992705,-0.49009013,-0.27546763,0.045675367,-0.2384422,-0.3235247,-0.35014075,-0.5803493,-0.42298523,-0.4697039,-0.59028226,-0.5551152,-0.164636,-0.16072649,0.31439832,-0.5413354,0.005877763,0.06806184,-0.71863806,-0.039215986,-0.22882701,-0.71590734,0.052895837,-0.43928394,0.07807077,0.018047709,0.35473242,-0.28852546,-0.08852206,0.06324568,0.37371257,-0.3539418,-0.6914312,0.3135046,-0.06029642,-0.12693419,0.30198622,0.034024946,0.20840217,0.21631758,-0.058588352,-0.4336834,0.017855294,-0.58068585,-0.1740904,-0.81071526,-0.37383246,0.26731008,0.0184245,-0.15679465,-0.47128108,0.17925,0.23151089,-0.28050044,-0.9755297,-1.0406111,-0.5836975,-0.25006577,-0.03027169,-0.59974056,-0.026665263,-0.048024952,-0.24486528,0.24694648,-0.39466256,0.2225673,-0.49504378,-0.013388403,-0.23225415,-0.10881968,0.052351817,-0.47573352,-0.11329677,-0.17075162,-0.7428323,-0.45838422,-0.26305035,-0.6948991,-0.4743099,0.24381974,0.36814713,0.5623284,0.23990354,0.15365154,-0.2773375,0.24183637,-0.14432606,-0.070947215,0.1247529,-0.1985536,0.021189667,-0.396124,-0.38100946
0.28571123,-0.1503486,-0.328816,0.031021642,-0.40339065,0.03400315,-0.23624106,-0.40683305,0.053378597,-0.10953862,0.13642906,-0.05629752,0.38198385,0.10479615,0.35095623,-0.55513114,0.44532654,-0.70753086,-0.67429465,-0.37091467,-0.114540145,0.18051115,-0.18668452,0.058253817,-0.0023067442,-0.076253586,-0.75603414,-0.8985374,0.23796543,0.19794749,-0.61602694,0.027253894,0.006370717,-0.27000472,-0.16854972,0.07219423,-0.044147816,0.0911332,-0.27600664,0.20764714,0.18147539,-0.27005047,-0.35748038,-0.14468826,-0.5323153,-0.19974837,-0.079572104,-0.32414705,0.2529831,0.026208768,-0.2882417,0.43259123,-0.6377097,0.108867876,0.0957697,-0.14790285,0.20649704,0.1803711,-0.1208877,0.5045339,-0.10373443,0.032705233,-0.3997357,-0.08755289,-0.334732,0.09930068,0.09589078,0.058527205,-0.4267356,-0.106138855,0.42152852,-0.21899605,-0.4483994,-0.059702054,-0.13425466,0.046542063,-0.14765014,-0.44575232,-0.27833015,0.08951918,-0.22936034,0.0801425,-0.28375414,-0.034011368,-0.16287254,0.101697534,0.06343061,-0.32860032,0.101669,-0.5466412,-0.4273944,-0.39450127,-0.24133343,-0.49334708,0.37492266,-0.5938768,-0.1234959,0.022996632,0.1324647,-0.20057239
-0.059522685,0.06072729,-0.3129466,-0.57481045,0.4083418,0.38621834,-0.43136695,0.4054323,-0.25223553,0.04823581,-0.3664759,0.10257167,-0.095962755,-0.14590868,-0.3969573,0.058523126,-0.9375734,0.55389315,0.06564574,0.5139505,-0.18914804,-0.4258953,-0.24168561,0.12747967,-0.3032282,-0.12715787,0.4290166,0.24779348,-0.5399549,0.42509085,0.40351516,-0.22516441,0.95908815,-0.61224914,-0.57793003,-0.5147126,-0.42947882,-0.34415472,0.1508018,-0.39868185,-0.010734221,-0.22477369,-0.25766024,0.26754463,-0.51787484,-0.5786002,-0.00088200066,-0.302922,-0.7021974,-0.33282983,0.12637083,-0.66769975,0.16559488,-0.05391585,-0.37780353,0.39417118,-0.61828655,0.14510863,0.21925569,-0.5209745,-0.6482155,-0.16180703,-0.6485811,-0.092220366,-0.09538632,0.032647442,0.41407117,-0.5204877,-0.19686635,-0.13607709,-0.03528636,-0.036075734,-0.5581,-0.22191854,0.09975913,-0.0067600613,0.2448058,0.030020801,0.26285592,-0.23733276,-0.30753866,-0.2878505,-0.4920857,-0.62632775,-0.29642016,-0.06947503,-0.9758952,-0.52634615,-0.697122,0.48028272,-0.43241912,0.055408277,-0.3939997,-0.37262288,-0.9005772,0.14597513,0.38307968,-0.2641339,-0.7086023,-0.033768017
0.4786259,0.6125286,0.005463803,0.33359388,0.49781135,0.93885005,0.5717226,0.28880098,0.3159404,0.5804485,0.6136034,0.49032775,0.06598903,0.47599873,-0.0017008567,0.46361446,-0.2898136,0.98582083,0.61580884,0.22396716,-0.03226344,0.27906552,0.63221914,0.09791046,0.49022928,0.32855898,0.6689817,0.32874948,0.15414731,0.004348696,0.5308576,0.33124328,0.23946215,0.34612122,0.25720984,0.19804613,0.25338846,0.38991654,0.7212439,0.9629856,0.24197935,0.63034934,0.3159911,0.33414716,0.43459076,0.6739039,0.7781405,0.13912018,0.64510065,0.3278281,0.3376099,-0.032329243,1.2118801,0.17788887,0.30381167,0.25723183,-0.26329213,1.5295506,-0.014719167,0.101659894,1.1603367,0.3552318,0.5786491,0.4272321,0.62512267,0.12877089,0.41172522,0.23086505,0.24545775,0.25450486,0.13724442,0.45990512,-0.06525434,0.33781713,0.27129328,0.3925093,0.14716434,0.292809,0.915754,0.343194,0.1917317,0.06627506,1.0413179,1.0754755,0.72883886,0.2129872,0.3191119,0.19130868,-0.030537486,0.10257171,0.34001574,0.568093,-0.23602219,0.35304102,0.13420114,0.60674614,0.35817418,0.8512658,-0.45318404,1.0549439
-0.2504354,-0.19707945,0.14106154,-0.08051671,-0.16081525,-0.2933778,0.21568213,-0.21010894,0.010006356,0.0066591017,-0.41485187,-0.3011653,-0.76170826,0.300061,0.25222686,-0.2380552,-0.17050543,0.33512297,-0.40696618,0.28174654,-0.13211936,0.15657064,-0.28265044,-0.5875851,0.05086054,-0.061899263,0.47888514,-0.63204026,0.3538498,0.18618731,-0.2681002,0.30890682,-0.5222603,-0.1789681,-0.74388415,-0.5446291,-0.38919,0.51617074,0.049501363,-0.7602238,-0.016454116,-0.11579455,-0.68157107,0.0022197105,0.15703383,-0.0064682257,-0.08874397,0.1829848,-0.33850822,0.13884026,-0.53587586,-0.22941138,0.484348,-0.49303493,-0.48894677,0.50657094,-0.18485206,0.088275425,0.01724704,-0.122511975,0.19532193,-0.8395321,-0.04587803,-0.28775713,-0.47103822,0.0931508,0.4631821,-0.20652151,-0.20085077,-0.015616131,-0.24747473,-0.64643466,0.18928382,0.1617935,0.054504078,-0.30127525,-0.13214874,0.29168135,0.2045577,-0.076418675,-0.15495895,-0.47789562,0.16112393,0.3836879,0.11237562,-0.52698153,0.050644714,-0.38865253,-0.4405105,0.3576747,0.030422267,-0.55386144,-0.17670615,0.1628531,-0.03158012,-0.114783205,-0.35586324,0.35457695,-0.2938628,-0.5036085
0.09761441,-0.1865533,-0.16870244,-0.1345165,-0.20425074,-0.12073397,0.41240016,-0.2662108,-0.18678316,-0.34317997,-0.45589152,-0.26901147,0.3262486,0.33638474,-0.35409817,-0.48738948,-0.08678456,-0.4952135,0.49933243,-0.21143335,-0.4515778,-0.2807355,-0.5867494,-0.21475339,0.34375712,-0.3242853,-0.15368943,-0.2017432,-0.29133022,0.18489435,0.37751877,-0.099569045,0.5208284,-0.3046916,-0.23710436,-0.15930156,-0.1994223,0.16010694,-0.5107822,-0.65038884,0.07785478,0.98270065,0.18130292,-0.44233203,0.28996664,0.079500616,-0.04379071,-0.23951197,-0.073677115,-0.56629884,-0.47604242,0.02757727,0.005582967,-0.25102058,0.31959024,-0.9547952,-0.72474486,-0.48720804,-0.26363054,0.63636994,0.04367525,-0.4505265,0.04020156,-0.3063006,-0.23158821,-0.049379665,-0.58639604,0.121397085,-0.59429437,0.08376179,-0.22401126,-0.5399946,-0.32777098,-0.55963695,-0.8712701,-0.13833837,-0.2776967,0.14810197,-0.2993431,-0.5497846,-0.6841069,0.17924719,0.059333857,-0.3708201,0.0013221288,-1.2001789,0.06518249,0.18181287,0.42484063,-0.046451967,-0.2659535,0.06448791,0.16992964,-0.3852942,0.046478458,-0.061961416,-0.424784,-0.3174055,0.041540995,-0.26216295
-0.38471875,-0.5840118,-0.63825786,-0.6722081,-0.15995973,-0.50028163,0.022820357,-0.39756897,-0.23588,-0.27850327,-0.12872499,-0.015428295,-0.21393022,-0.17416613,-0.22288753,-0.5268288,-0.95631856,-0.64059955,0.3627442,-0.42996177,-0.47968385,-0.028966367,-0.6021516,-0.12182062,-0.21164696,-0.66273755,-0.42920732,-1.0253994,0.13491811,-0.03789221,-0.19179752,-0.88260406,-0.45887074,-0.40544847,-0.6775511,-0.63470215,0.05982815,-0.09186099,-0.08402712,-0.27653572,-0.6856541,-0.67269325,-0.39032847,-0.3686773,-0.29392081,0.12678495,-0.25626752,-0.5485758,-0.6312277,0.14424206,-0.3598829,-0.5275951,-0.4625229,-0.37315348,-0.6649791,-0.11747019,-0.18831138,-0.31037083,-0.92231655,0.053197015,-0.36009768,-0.42809248,-0.5016865,-0.19925758,-0.087172456,-0.59128857,-0.51870817,-0.13851604,-0.059531663,-0.6021994,0.060958344,-0.54611015,-0.46002746,-0.820077,-0.016728733,-0.33096242,-0.092516296,-0.6039468,0.12135288,-0.57965547,-0.5566768,-0.39980158,-0.39301327,-1.04332,-0.53388643,-0.0015007388,-0.405738,-0.2537926,-0.48408553,-0.63844323,-0.020958457,-1.20216,-0.018155696,-0.23458219,-0.5162917,-0.3272656,-0.08922022,-0.8798626,0.027505651,-0.63427204
0.21817276,-0.4438305,0.38649106,-0.2624977,-0.28372255,0.32685348,0.25195625,-0.22068365,0.1557437,-0.05678486,-0.030897234,-0.041765373,-0.16104037,0.014885848,0.15196866,0.17451797,-0.08137543,0.160209,0.140197,0.406798,0.100868426,-0.6024434,-0.38155887,-0.49031562,-0.271973,-0.18117908,-0.382149,-0.5412815,-0.42354774,-0.2490631,0.018769853,0.2950886,0.049415898,0.06223036,-0.6189685,0.6490287,-0.12520643,-0.011411246,0.33016023,-0.1283463,-0.07067429,0.46311277,0.05888362,-0.43812534,0.5044369,-0.18243375,-0.41363215,-0.067614146,-0.2959396,-0.163228,0.27620125,0.020255808,0.287837,-0.018573625,0.37153554,0.14902104,-0.19705436,0.07679754,0.3014834,-0.102114916,-0.39961597,-0.43255967,0.55845463,-0.06009776,0.17985238,-0.64207804,0.28842708,0.2943943,0.006569664,-0.29657695,-0.017230958,0.14816996,-0.14227079,-0.5516623,0.067807436,-0.3567432,0.14799656,-0.100786306,-0.049967714,0.5245782,0.041612677,0.08983679,-0.03690545,0.43961787,0.18872745,0.24133071,-0.29865286,-0.29181385,0.16174002,-0.0045824535,-0.12475072,0.4326072,0.48535138,-0.64751846,0.4550967,-0.19880953,-0.24149,0.09675851,0.06152611,-0.19604602
